'My Product Subscription','Suscripción de mi Producto'
"In Stock","Stock disponible"
"Out Of Stock","Sin inventario"
'Run Cron Now','Ejecutar Cron ahora'
'Alert subscription has been saved.','La suscripción de alerta se ha guardado.'
'There are not enough parameters.','No hay suficientes parámetros.'
'We can\'t update the alert subscription right now.','No podemos actualizar la suscripción de alertas en este momento.'
'Manage Customer Subscriptions','Administrar suscripciones de clientes'
'A total of %1 record(s) have been deleted.','Se ha eliminado un total de %1 registros.'
'Page not found.','Page not found.'
'You will no longer receive stock alerts for this product.','Ya no recibirás alertas de stock de este producto.'
'The product was not found.','El producto no fue encontrado.'
'You will no longer receive stock alerts.','Ya no recibirás alertas de stock.'
'Unable to update the alert subscription.','No se puede actualizar la suscripción de alerta.'
'Invalid block type: %1','Tipo de bloque no válido: %1'
'We can\'t save the cron expression.','No podemos guardar la expresión cron.'
'Sent','Enviado'
'Pending','Pendiente'
'In stock alert! We wanted you to know that these products are now available:','¡Alerta de existencias! Queríamos que supieras que estos productos ya están disponibles:'
'Notify me when this product is in stock','Avisarme cuando este producto esté disponible'
'Your Email','Tu correo electrónico'
'Notify Me','Notificarme'
'Cancel Coupon','Cancelar cupón'
'Stop Notify','Dejar de notificar'
'Stop All Notification','Detener todas las notificaciones'
'Status: ','Estado: '
'Email subscribe: ','Suscríbete por correo electrónico: '
'Product Name: ','Nombre del producto: '
'Notify','Notificar'
'Grouped','Agrupados'
'Grouped product items','Artículos de productos agrupados'
'Qty','Cantidad'
'We can\'t find products matching the selection.','No podemos encontrar productos que coincidan con la selección.'
'Notify Button Design','Notificar diseño de botón'
'Button Text','Texto de Botón'
'Button Text Color','Color del Texto del Botón'
'Button Color','Color del Boton'
'Notification Message','Mensaje de Notificación'
'Do you want to notify to customer of selected row records?','¿Desea notificar al cliente sobre los registros de fila seleccionados?'
'Progress notification successfully','Notificación de progreso exitosa'
'Stop Notify this product','Dejar de notificar este producto'
